dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,50,128,0.950000,0.900000
Coffee,50,71,0.892857,1.000000
DistalPhalanxOutlineCorrect,50,20,0.948333,0.764493
Earthquakes,50,128,0.813665,0.748201
ECG200,50,24,0.950000,0.890000
ECGFiveDays,50,34,0.913043,0.756098
FordA,50,125,0.931408,0.887121
Ham,50,107,0.798165,0.733333
ShapeletSim,50,125,0.900000,0.705556
SonyAIBORobotSurface1,50,17,1.000000,0.712146
SonyAIBORobotSurface2,50,16,1.000000,0.916055
Strawberry,50,58,0.983687,0.956757
ToeSegmentation1,50,69,0.975000,0.956140
TwoLeadECG,50,20,0.826087,0.928007
Wafer,50,38,0.997000,0.988968
WormsTwoClass,50,225,0.966851,0.818182
Yoga,50,106,0.986667,0.858000
