dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,40,76,0.850000,0.750000
Coffee,40,42,0.928571,1.000000
DistalPhalanxOutlineCorrect,40,12,0.986667,0.789855
Earthquakes,40,76,0.962733,0.741007
ECG200,40,14,0.920000,0.900000
ECGFiveDays,40,20,0.913043,0.836237
FordA,40,75,0.904471,0.881818
Ham,40,64,0.954128,0.704762
ShapeletSim,40,75,0.950000,0.750000
SonyAIBORobotSurface1,40,10,0.950000,0.738769
SonyAIBORobotSurface2,40,9,0.962963,0.831060
Strawberry,40,35,0.985318,0.940541
ToeSegmentation1,40,41,1.000000,0.964912
TwoLeadECG,40,12,0.913043,0.915716
Wafer,40,22,0.995000,0.988157
Yoga,40,63,0.996667,0.838000
