dataset,shapelet_num,shapelet_len,train_acc,test_acc
Wafer,40,53,0.773000,0.892116
Wafer,55,22,0.790000,0.892116
Wafer,55,38,0.785000,0.892116
Wafer,55,53,0.790000,0.892116
WormsTwoClass,25,135,0.679558,0.753247
WormsTwoClass,25,225,0.657459,0.740260
WormsTwoClass,40,135,0.696133,0.818182
WormsTwoClass,40,225,0.679558,0.727273
WormsTwoClass,40,315,0.690608,0.740260
WormsTwoClass,55,135,0.745856,0.818182
Yoga,25,63,0.810000,0.700000
Yoga,25,106,0.750000,0.691000
Yoga,25,149,0.696667,0.650333
Yoga,40,63,0.810000,0.739667
Yoga,40,106,0.760000,0.708000
Yoga,40,149,0.730000,0.669000
Yoga,55,63,0.823333,0.755000
Yoga,55,106,0.780000,0.702000
Yoga,55,149,0.720000,0.676333
