dataset,shapelet_num,shapelet_len,train_acc,test_acc
ToeSegmentation1,50,41,1.000000,0.934211
ToeSegmentation1,50,55,1.000000,0.929825
ToeSegmentation1,50,69,0.975000,0.947368
ToeSegmentation1,50,83,0.975000,0.912281
dataset,shapelet_num,shapelet_len,train_acc,test_acc
ToeSegmentation1,40,41,1.000000,0.925439
ToeSegmentation1,40,55,0.875000,0.934211
ToeSegmentation1,40,69,0.975000,0.951754
ToeSegmentation1,40,83,1.000000,0.964912
ToeSegmentation1,50,41,1.000000,0.925439
ToeSegmentation1,50,55,1.000000,0.951754
ToeSegmentation1,50,69,0.950000,0.960526
ToeSegmentation1,50,83,1.000000,0.951754
ToeSegmentation1,60,41,1.000000,0.938596
ToeSegmentation1,60,55,1.000000,0.951754
ToeSegmentation1,60,69,0.975000,0.964912
ToeSegmentation1,60,83,0.975000,0.929825
TwoLeadECG,40,12,0.956522,0.936787
TwoLeadECG,40,16,0.913043,0.889377
TwoLeadECG,40,20,0.913043,0.940299
TwoLeadECG,40,24,0.956522,0.939421
TwoLeadECG,50,12,0.956522,0.932397
TwoLeadECG,50,16,0.913043,0.890255
TwoLeadECG,50,20,0.956522,0.892888
TwoLeadECG,50,24,0.826087,0.914838
TwoLeadECG,60,12,0.956522,0.922739
TwoLeadECG,60,16,0.826087,0.884987
TwoLeadECG,60,20,0.869565,0.862160
TwoLeadECG,60,24,0.956522,0.950834
Wafer,40,22,0.993000,0.985724
Wafer,40,30,0.993000,0.987021
Wafer,40,38,0.997000,0.988157
Wafer,40,45,0.997000,0.992213
Wafer,50,22,0.995000,0.986535
Wafer,50,30,0.999000,0.992051
Wafer,50,38,0.997000,0.987508
Wafer,50,45,0.996000,0.991402
Wafer,60,22,0.989000,0.982641
Wafer,60,30,0.998000,0.990428
Wafer,60,38,0.998000,0.991077
Wafer,60,45,0.997000,0.991402
WormsTwoClass,40,135,0.972376,0.857143
WormsTwoClass,40,180,0.972376,0.831169
WormsTwoClass,40,225,0.895028,0.818182
WormsTwoClass,40,270,0.889503,0.844156
WormsTwoClass,50,135,0.983425,0.844156
WormsTwoClass,50,180,0.955801,0.779221
WormsTwoClass,60,135,0.966851,0.818182
WormsTwoClass,60,180,0.972376,0.831169
WormsTwoClass,60,270,0.972376,0.766234
Yoga,40,63,1.000000,0.848000
Yoga,40,85,0.993333,0.851667
Yoga,40,106,0.993333,0.839333
Yoga,40,127,0.966667,0.842333
Yoga,50,63,0.986667,0.851667
Yoga,50,85,0.996667,0.857667
Yoga,50,106,0.993333,0.855667
Yoga,50,127,0.973333,0.851000
Yoga,60,63,1.000000,0.851667
Yoga,60,85,0.986667,0.864333
Yoga,60,106,0.983333,0.859667
Yoga,60,127,0.990000,0.859000
