dataset,shapelet_num,shapelet_len,crop_len,train_acc,test_acc
DistalPhalanxOutlineCorrect,50,28,5,0.970000,0.778986
DistalPhalanxOutlineCorrect,50,28,14,0.940000,0.768116
DistalPhalanxOutlineCorrect,50,28,19,0.948333,0.782609
DistalPhalanxOutlineCorrect,50,28,28,0.950000,0.764493
DistalPhalanxOutlineCorrect,60,12,2,0.968333,0.786232
DistalPhalanxOutlineCorrect,60,12,6,0.971667,0.768116
DistalPhalanxOutlineCorrect,60,12,8,0.756667,0.771739
DistalPhalanxOutlineCorrect,60,12,12,0.855000,0.764493
DistalPhalanxOutlineCorrect,60,20,4,0.858333,0.789855
DistalPhalanxOutlineCorrect,60,20,10,0.923333,0.778986
DistalPhalanxOutlineCorrect,60,20,14,0.965000,0.764493
DistalPhalanxOutlineCorrect,60,20,20,0.938333,0.757246
DistalPhalanxOutlineCorrect,60,28,5,0.931667,0.764493
DistalPhalanxOutlineCorrect,60,28,14,0.976667,0.764493
DistalPhalanxOutlineCorrect,60,28,19,0.958333,0.764493
DistalPhalanxOutlineCorrect,60,28,28,0.923333,0.778986
Earthquakes,40,76,15,0.826087,0.755396
Earthquakes,40,76,38,0.826087,0.748201
Earthquakes,40,76,53,0.810559,0.748201
Earthquakes,40,76,76,0.962733,0.733813
Earthquakes,40,128,25,0.903727,0.769784
Earthquakes,40,128,64,0.847826,0.748201
Earthquakes,40,128,89,0.819876,0.748201
Earthquakes,40,128,128,0.841615,0.726619
Earthquakes,40,179,35,0.881988,0.719424
Earthquakes,40,179,89,0.900621,0.748201
Earthquakes,40,179,125,0.857143,0.741007
Earthquakes,40,179,179,0.807453,0.748201
Earthquakes,50,76,15,0.937888,0.769784
Earthquakes,50,76,38,0.897516,0.726619
Earthquakes,50,76,53,0.571429,0.741007
Earthquakes,50,76,76,0.801242,0.741007
Earthquakes,50,128,25,0.819876,0.741007
Earthquakes,50,128,64,0.869565,0.769784
Earthquakes,50,128,89,0.819876,0.748201
Earthquakes,50,128,128,0.829193,0.755396
Earthquakes,50,179,35,0.810559,0.748201
Earthquakes,50,179,89,0.990683,0.784173
Earthquakes,50,179,125,0.832298,0.748201
Earthquakes,50,179,179,0.816770,0.755396
Earthquakes,60,76,15,0.819876,0.755396
Earthquakes,60,76,38,0.968944,0.769784
Earthquakes,60,76,53,0.807453,0.748201
Earthquakes,60,76,76,0.788820,0.748201
Earthquakes,60,128,25,0.798137,0.748201
Earthquakes,60,128,64,0.767081,0.748201
Earthquakes,60,128,89,0.878882,0.762590
Earthquakes,60,128,128,0.726708,0.748201
Earthquakes,60,179,35,0.813665,0.748201
Earthquakes,60,179,89,0.826087,0.719424
Earthquakes,60,179,125,0.826087,0.748201
Earthquakes,60,179,179,0.925466,0.755396
ECG200,40,14,2,0.910000,0.880000
ECG200,40,14,7,0.900000,0.830000
ECG200,40,14,9,0.950000,0.900000
ECG200,40,14,14,0.930000,0.900000
