dataset,shapelet_num,shapelet_len,train_acc,test_acc
BeetleFly,40,76,0.950000,0.900000
BeetleFly,40,102,0.900000,0.900000
BeetleFly,40,128,0.800000,0.950000
BeetleFly,40,153,0.800000,0.750000
BeetleFly,50,76,0.850000,0.900000
BeetleFly,50,102,0.850000,0.800000
BeetleFly,50,128,0.950000,0.850000
BeetleFly,50,153,0.900000,0.950000
BeetleFly,60,76,0.800000,0.850000
BeetleFly,60,102,0.900000,0.900000
BeetleFly,60,128,0.900000,0.900000
BeetleFly,60,153,0.550000,0.850000
Coffee,40,42,0.928571,1.000000
Coffee,40,57,0.964286,0.964286
Coffee,40,71,0.964286,1.000000
Coffee,40,85,0.821429,1.000000
Coffee,50,42,0.964286,1.000000
Coffee,50,57,0.964286,1.000000
Coffee,50,71,1.000000,1.000000
Coffee,50,85,1.000000,1.000000
Coffee,60,42,0.892857,1.000000
Coffee,60,57,0.785714,1.000000
Coffee,60,71,0.892857,1.000000
Coffee,60,85,0.928571,1.000000
DistalPhalanxOutlineCorrect,40,12,0.915000,0.782609
DistalPhalanxOutlineCorrect,40,16,0.958333,0.804348
DistalPhalanxOutlineCorrect,40,20,0.950000,0.786232
DistalPhalanxOutlineCorrect,40,24,0.923333,0.782609
DistalPhalanxOutlineCorrect,50,12,0.950000,0.786232
DistalPhalanxOutlineCorrect,50,16,0.953333,0.789855
DistalPhalanxOutlineCorrect,50,24,0.883333,0.782609
DistalPhalanxOutlineCorrect,60,12,0.898333,0.764493
DistalPhalanxOutlineCorrect,60,16,0.966667,0.771739
DistalPhalanxOutlineCorrect,60,20,0.956667,0.746377
DistalPhalanxOutlineCorrect,60,24,0.950000,0.778986
Earthquakes,40,76,0.832298,0.741007
Earthquakes,40,102,0.841615,0.748201
Earthquakes,40,128,0.788820,0.762590
Earthquakes,40,153,0.757764,0.762590
Earthquakes,50,76,0.826087,0.683453
Earthquakes,50,102,0.813665,0.748201
Earthquakes,50,128,0.807453,0.748201
Earthquakes,50,153,0.990683,0.755396
Earthquakes,60,76,0.959627,0.769784
Earthquakes,60,102,0.850932,0.748201
Earthquakes,60,128,1.000000,0.769784
Earthquakes,60,153,0.782609,0.748201
ECG200,40,14,0.980000,0.910000
ECG200,40,19,0.920000,0.910000
ECG200,40,24,0.960000,0.870000
ECG200,40,28,0.960000,0.890000
ECG200,50,14,0.940000,0.890000
ECG200,50,19,0.940000,0.840000
ECG200,50,24,0.980000,0.890000
ECG200,50,28,0.970000,0.900000
ECG200,60,14,0.910000,0.900000
ECG200,60,19,0.960000,0.880000
ECG200,60,24,0.970000,0.930000
ECG200,60,28,0.930000,0.910000
ECGFiveDays,40,20,0.869565,0.753775
ECGFiveDays,40,34,0.913043,0.723577
ECGFiveDays,40,40,0.869565,0.764228
ECGFiveDays,50,20,0.869565,0.854820
ECGFiveDays,50,27,0.956522,0.849013
ECGFiveDays,50,34,0.869565,0.678281
ECGFiveDays,50,40,0.826087,0.815331
ECGFiveDays,60,27,0.913043,0.915215
ECGFiveDays,60,34,0.826087,0.731707
ECGFiveDays,60,40,0.913043,0.839721
FordA,40,75,0.897528,0.796970
FordA,40,100,0.912524,0.801515
FordA,40,125,0.888087,0.790152
FordA,40,150,0.885310,0.778788
FordA,50,75,0.898362,0.797727
FordA,50,100,0.858650,0.850000
FordA,50,125,0.869203,0.809848
FordA,50,150,0.886420,0.806061
FordA,60,75,0.923355,0.832576
FordA,60,100,0.870869,0.809091
FordA,60,125,0.885865,0.831061
FordA,60,150,0.907248,0.810606
Ham,40,64,0.981651,0.723810
Ham,40,86,0.743119,0.742857
Ham,40,107,0.871560,0.723810
Ham,40,129,0.954128,0.733333
Ham,50,64,0.963303,0.714286
Ham,50,86,1.000000,0.733333
Ham,50,107,0.834862,0.742857
Ham,50,129,1.000000,0.695238
Ham,60,64,1.000000,0.723810
Ham,60,86,1.000000,0.761905
Ham,60,107,0.963303,0.666667
Ham,60,129,0.733945,0.704762
ShapeletSim,40,75,0.800000,0.705556
ShapeletSim,40,100,0.800000,0.766667
ShapeletSim,40,125,0.700000,0.716667
ShapeletSim,40,150,0.800000,0.688889
ShapeletSim,50,75,0.900000,0.833333
ShapeletSim,50,100,0.800000,0.722222
ShapeletSim,50,125,0.800000,0.766667
ShapeletSim,50,150,0.700000,0.711111
ShapeletSim,60,75,0.800000,0.872222
ShapeletSim,60,100,0.850000,0.788889
ShapeletSim,60,125,0.850000,0.783333
ShapeletSim,60,150,0.800000,0.800000
SonyAIBORobotSurface1,40,10,1.000000,0.783694
SonyAIBORobotSurface1,40,14,0.950000,0.722130
SonyAIBORobotSurface1,40,17,1.000000,0.762063
SonyAIBORobotSurface1,40,21,0.950000,0.680532
SonyAIBORobotSurface1,50,10,1.000000,0.792013
SonyAIBORobotSurface1,50,14,0.950000,0.682196
SonyAIBORobotSurface1,50,17,0.950000,0.787022
SonyAIBORobotSurface1,50,21,0.900000,0.788686
SonyAIBORobotSurface1,60,10,0.950000,0.765391
SonyAIBORobotSurface1,60,14,0.950000,0.725458
SonyAIBORobotSurface1,60,17,0.900000,0.707155
SonyAIBORobotSurface1,60,21,0.900000,0.742097
SonyAIBORobotSurface2,40,9,1.000000,0.906611
SonyAIBORobotSurface2,40,13,1.000000,0.937041
SonyAIBORobotSurface2,40,16,0.962963,0.929696
SonyAIBORobotSurface2,40,19,0.962963,0.857293
SonyAIBORobotSurface2,50,9,1.000000,0.886674
SonyAIBORobotSurface2,50,13,0.962963,0.883526
SonyAIBORobotSurface2,50,16,1.000000,0.882476
SonyAIBORobotSurface2,50,19,1.000000,0.866737
SonyAIBORobotSurface2,60,9,1.000000,0.845750
SonyAIBORobotSurface2,60,13,0.962963,0.852046
SonyAIBORobotSurface2,60,16,0.962963,0.907660
SonyAIBORobotSurface2,60,19,0.962963,0.863589
Strawberry,40,35,0.991843,0.956757
Strawberry,40,47,0.983687,0.962162
Strawberry,40,58,0.965742,0.954054
Strawberry,40,70,0.972268,0.943243
Strawberry,50,35,0.986949,0.962162
Strawberry,50,47,0.969005,0.956757
Strawberry,50,58,0.982055,0.951351
Strawberry,50,70,0.977162,0.954054
Strawberry,60,35,0.986949,0.964865
Strawberry,60,47,0.978793,0.959459
Strawberry,60,58,0.980424,0.959459
Strawberry,60,70,0.972268,0.956757
ToeSegmentation1,40,41,1.000000,0.951754
ToeSegmentation1,40,55,0.975000,0.942982
ToeSegmentation1,40,69,1.000000,0.964912
ToeSegmentation1,40,83,1.000000,0.951754
ToeSegmentation1,50,41,0.975000,0.947368
ToeSegmentation1,50,55,1.000000,0.938596
ToeSegmentation1,50,69,1.000000,0.956140
ToeSegmentation1,50,83,1.000000,0.969298
ToeSegmentation1,60,41,0.950000,0.938596
ToeSegmentation1,60,55,0.950000,0.938596
ToeSegmentation1,60,69,0.950000,0.969298
ToeSegmentation1,60,83,0.975000,0.934211
