dataset,shapelet_num,shapelet_len,train_acc,test_acc
ToeSegmentation1,40,69,1.000000,0.929825
ToeSegmentation1,40,83,1.000000,0.938596
ToeSegmentation1,50,41,1.000000,0.934211
ToeSegmentation1,50,55,1.000000,0.947368
ToeSegmentation1,50,69,1.000000,0.951754
ToeSegmentation1,50,83,1.000000,0.942982
ToeSegmentation1,60,41,1.000000,0.934211
ToeSegmentation1,60,55,1.000000,0.929825
ToeSegmentation1,60,69,1.000000,0.947368
ToeSegmentation1,60,83,0.925000,0.934211
TwoLeadECG,40,12,0.869565,0.855136
TwoLeadECG,40,16,0.869565,0.860404
TwoLeadECG,40,20,0.956522,0.838455
TwoLeadECG,40,24,0.913043,0.859526
TwoLeadECG,50,12,0.956522,0.920983
TwoLeadECG,50,16,0.869565,0.916594
TwoLeadECG,50,20,0.869565,0.856014
TwoLeadECG,50,24,0.956522,0.970149
TwoLeadECG,60,12,0.869565,0.932397
TwoLeadECG,60,16,0.869565,0.879719
TwoLeadECG,60,20,0.869565,0.920983
TwoLeadECG,60,24,0.913043,0.941176
Wafer,40,22,0.992000,0.984263
Wafer,40,30,0.996000,0.991564
Wafer,40,38,0.998000,0.989455
Wafer,40,45,0.997000,0.993673
Wafer,50,22,0.993000,0.987346
Wafer,50,30,0.997000,0.993835
Wafer,50,38,0.996000,0.990266
Wafer,50,45,0.998000,0.993997
Wafer,60,22,0.993000,0.986048
Wafer,60,30,0.996000,0.990915
Wafer,60,38,0.997000,0.992051
Wafer,60,45,0.997000,0.994160
WormsTwoClass,40,135,0.988950,0.753247
WormsTwoClass,40,180,0.961326,0.805195
WormsTwoClass,40,225,0.988950,0.844156
WormsTwoClass,40,270,0.928177,0.805195
WormsTwoClass,50,135,0.994475,0.818182
WormsTwoClass,50,180,0.988950,0.844156
WormsTwoClass,50,225,0.977901,0.792208
WormsTwoClass,50,270,0.983425,0.766234
WormsTwoClass,60,135,0.944751,0.805195
WormsTwoClass,60,180,0.988950,0.818182
WormsTwoClass,60,225,0.961326,0.779221
WormsTwoClass,60,270,0.988950,0.805195
Yoga,40,63,0.993333,0.849667
Yoga,40,85,0.973333,0.841667
Yoga,40,106,0.993333,0.840333
Yoga,40,127,0.956667,0.833667
Yoga,50,63,0.993333,0.868333
Yoga,50,85,0.983333,0.831333
Yoga,50,106,0.960000,0.843000
Yoga,50,127,0.980000,0.852333
Yoga,60,63,0.980000,0.853000
Yoga,60,85,0.973333,0.858667
Yoga,60,106,0.986667,0.859667
Yoga,60,127,0.976667,0.833667
