dataset,shapelet_num,shapelet_len,train_acc,test_acc
SonyAIBORobotSurface2,30,13,0.925926,0.834208
SonyAIBORobotSurface2,30,16,0.962963,0.830010
SonyAIBORobotSurface2,30,19,0.925926,0.825813
Strawberry,20,35,0.871126,0.859459
Strawberry,20,47,0.849918,0.840541
Strawberry,20,58,0.876020,0.864865
Strawberry,20,70,0.848287,0.835135
Strawberry,25,35,0.871126,0.854054
Strawberry,25,47,0.885808,0.859459
Strawberry,25,58,0.846656,0.832432
Strawberry,25,70,0.845024,0.818919
Strawberry,30,35,0.862969,0.837838
Strawberry,30,47,0.884176,0.862162
Strawberry,30,58,0.856444,0.824324
Strawberry,30,70,0.854812,0.843243
ToeSegmentation1,20,41,0.825000,0.785088
ToeSegmentation1,20,55,0.825000,0.802632
ToeSegmentation1,20,69,0.925000,0.890351
ToeSegmentation1,20,83,0.900000,0.868421
ToeSegmentation1,25,41,0.925000,0.859649
ToeSegmentation1,25,55,0.950000,0.855263
ToeSegmentation1,25,69,0.875000,0.850877
ToeSegmentation1,25,83,0.900000,0.890351
ToeSegmentation1,30,41,1.000000,0.907895
ToeSegmentation1,30,55,0.875000,0.868421
ToeSegmentation1,30,69,0.925000,0.881579
ToeSegmentation1,30,83,0.900000,0.885965
TwoLeadECG,20,12,1.000000,0.808604
TwoLeadECG,20,16,1.000000,0.885865
TwoLeadECG,20,20,0.913043,0.847234
TwoLeadECG,20,24,0.913043,0.820018
TwoLeadECG,25,12,1.000000,0.868306
TwoLeadECG,25,16,0.956522,0.817384
TwoLeadECG,25,20,1.000000,0.875329
TwoLeadECG,25,24,0.956522,0.928007
TwoLeadECG,30,12,1.000000,0.833187
TwoLeadECG,30,16,0.956522,0.859526
TwoLeadECG,30,20,0.956522,0.905180
TwoLeadECG,30,24,0.956522,0.907814
Wafer,20,22,0.788000,0.892116
Wafer,20,30,0.789000,0.892116
Wafer,20,38,0.792000,0.892116
Wafer,20,45,0.792000,0.892116
Wafer,25,22,0.786000,0.892116
Wafer,25,30,0.785000,0.892116
Wafer,25,38,0.795000,0.892116
Wafer,25,45,0.789000,0.892116
Wafer,30,22,0.784000,0.892116
Wafer,30,30,0.781000,0.892116
Wafer,30,38,0.785000,0.892116
Wafer,30,45,0.784000,0.892116
WormsTwoClass,20,135,0.707182,0.792208
WormsTwoClass,20,180,0.712707,0.753247
WormsTwoClass,20,225,0.602210,0.740260
WormsTwoClass,20,270,0.696133,0.701299
WormsTwoClass,25,135,0.729282,0.805195
WormsTwoClass,25,180,0.674033,0.818182
WormsTwoClass,25,225,0.662983,0.766234
WormsTwoClass,25,270,0.701657,0.792208
WormsTwoClass,30,135,0.734807,0.818182
WormsTwoClass,30,180,0.707182,0.779221
WormsTwoClass,30,225,0.696133,0.753247
WormsTwoClass,30,270,0.674033,0.753247
Yoga,20,63,0.780000,0.700667
Yoga,20,85,0.730000,0.696667
Yoga,20,106,0.746667,0.671000
Yoga,20,127,0.703333,0.652333
Yoga,25,63,0.770000,0.711333
Yoga,25,85,0.780000,0.703000
Yoga,25,106,0.773333,0.678333
Yoga,25,127,0.730000,0.688667
Yoga,30,63,0.803333,0.733000
Yoga,30,85,0.733333,0.704667
Yoga,30,106,0.750000,0.703667
Yoga,30,127,0.720000,0.703000
dataset,shapelet_num,shapelet_len,train_acc,test_acc
Computers,20,108,0.684000,0.668000
Computers,20,144,0.676000,0.676000
Computers,20,180,0.660000,0.668000
Computers,20,216,0.668000,0.672000
Computers,25,144,0.664000,0.664000
Computers,25,180,0.680000,0.684000
Computers,25,216,0.692000,0.680000
Computers,30,180,0.644000,0.676000
Computers,30,216,0.656000,0.664000
FordA,20,75,0.447653,0.519697
FordA,20,100,0.511525,0.515909
FordA,20,125,0.432102,0.528788
FordA,20,150,0.449875,0.515909
FordA,25,75,0.513468,0.515909
FordA,25,100,0.450986,0.515909
FordA,25,125,0.514024,0.515909
FordA,25,150,0.446265,0.515909
FordA,30,75,0.447098,0.516667
FordA,30,100,0.492641,0.515909
FordA,30,125,0.449042,0.518182
FordA,30,150,0.445710,0.515909
